,keyword,province,type,date,index
450,鼻塞,911,wise,2022-12-03,132
451,鼻塞,911,wise,2022-12-04,148
452,鼻塞,911,wise,2022-12-05,176
453,鼻塞,911,wise,2022-12-06,204
454,鼻塞,911,wise,2022-12-07,227
455,鼻塞,911,wise,2022-12-08,300
456,鼻塞,911,wise,2022-12-09,354
457,鼻塞,911,wise,2022-12-10,518
458,鼻塞,911,wise,2022-12-11,651
459,鼻塞,911,wise,2022-12-12,865
460,鼻塞,911,wise,2022-12-13,904
461,鼻塞,911,wise,2022-12-14,945
462,鼻塞,911,wise,2022-12-15,949
463,鼻塞,911,wise,2022-12-16,943
464,鼻塞,911,wise,2022-12-17,918
465,鼻塞,911,wise,2022-12-18,905
466,鼻塞,911,wise,2022-12-19,878
467,鼻塞,911,wise,2022-12-20,818
468,鼻塞,911,wise,2022-12-21,765
469,鼻塞,911,wise,2022-12-22,628
470,鼻塞,911,wise,2022-12-23,529
471,鼻塞,911,wise,2022-12-24,458
472,鼻塞,911,wise,2022-12-25,419
473,鼻塞,911,wise,2022-12-26,374
474,鼻塞,911,wise,2022-12-27,309
475,鼻塞,911,wise,2022-12-28,285
476,鼻塞,911,wise,2022-12-29,289
477,鼻塞,911,wise,2022-12-30,202
478,鼻塞,911,wise,2022-12-31,218
479,鼻塞,911,wise,2023-01-01,164
